role_id,permission_id
3,1
3,2
3,3
3,4
3,6
3,7
3,12
3,13
3,14
3,16
3,18
3,19
3,20
3,21
3,22
3,28
3,29
3,31
3,32
3,34
3,35
3,36
3,39
3,42
3,43
3,44
3,45
3,46
3,49
3,51
3,52
3,53
3,54
3,55
3,56
3,57
3,58
3,59
3,60
3,61
3,62
3,63
3,64
3,65
3,66
3,67
3,68
3,69
3,71
3,72
3,73
3,74
3,76
3,79
3,80
3,81
3,82
3,83
3,84
3,85
3,87
3,88
3,89
3,90
3,91
3,92
3,93
3,94
3,95
3,96
3,97
3,98
3,99
3,100
3,101
3,102
3,104
3,105
3,106
3,108
3,109
3,110
3,111
3,112
3,113
3,114
3,115
3,116
3,117
3,118
3,119
3,120
3,122
3,123
3,124
3,126
3,127
3,128
3,129
3,130
3,131
3,132
3,136
3,137
3,138
3,139
3,141
3,143
3,145
3,146
3,149
3,150
3,151
3,152
3,153
3,154
3,156
3,157
3,158
3,159
3,160
3,162
3,163
3,164
3,165
3,166
3,167
3,168
3,169
3,170
3,172
3,173
3,176
3,177
3,178
3,179
3,180
3,181
3,183
3,184
3,185
3,187
3,188
3,189
3,190
3,191
3,192
3,193
3,195
3,199
3,201
3,202
3,203
3,204
3,205
3,206
3,207
3,208
3,209
3,210
3,211
3,212
3,213
3,214
3,215
3,216
3,217
3,218
3,219
3,220
3,221
3,222
3,223
1,1
1,2
1,3
1,4
1,6
1,7
1,8
1,11
1,12
1,13
1,14
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,49
1,50
1,51
1,53
1,55
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,72
1,73
1,74
1,75
1,76
1,77
1,78
1,79
1,80
1,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,103
1,104
1,105
1,106
1,107
1,108
1,109
1,110
1,111
1,112
1,113
1,114
1,115
1,116
1,117
1,118
1,119
1,120
1,121
1,122
1,123
1,124
1,125
1,126
1,127
1,128
1,129
1,130
1,131
1,132
1,133
1,135
1,136
1,137
1,138
1,140
1,141
1,142
1,143
1,144
1,145
1,146
1,147
1,148
1,149
1,150
1,151
1,152
1,153
1,154
1,155
1,156
1,157
1,158
1,159
1,160
1,161
1,162
1,163
1,164
1,165
1,166
1,167
1,168
1,169
1,170
1,171
1,172
1,173
1,174
1,175
1,176
1,177
1,178
1,179
1,180
1,181
1,182
1,183
1,184
1,185
1,186
1,187
1,188
1,189
1,190
1,191
1,192
1,193
1,194
1,195
1,197
1,198
1,199
1,200
1,201
1,202
1,203
1,204
1,205
1,206
1,207
1,208
1,209
1,210
1,211
1,212
1,213
1,214
1,215
1,216
1,217
1,218
1,219
1,220
1,222
1,223
6,3
6,4
6,6
6,14
6,16
6,18
6,22
6,28
6,29
6,35
6,42
6,44
6,51
6,55
6,57
6,60
6,67
6,68
6,72
6,73
6,80
6,81
6,84
6,85
6,89
6,90
6,91
6,92
6,109
6,110
6,111
6,112
6,127
6,137
6,138
6,149
6,152
6,154
6,158
6,159
6,166
6,167
6,168
6,172
6,173
6,176
6,177
6,183
6,184
6,185
6,187
6,188
6,189
6,190
6,191
6,192
6,199
6,201
6,202
6,223
8,1
8,3
8,4
8,6
8,14
8,16
8,18
8,21
8,22
8,28
8,29
8,35
8,42
8,44
8,46
8,51
8,53
8,55
8,57
8,60
8,67
8,68
8,72
8,73
8,80
8,81
8,84
8,85
8,89
8,90
8,91
8,92
8,109
8,110
8,111
8,112
8,127
8,131
8,135
8,137
8,138
8,149
8,152
8,154
8,158
8,159
8,165
8,166
8,167
8,168
8,172
8,173
8,176
8,177
8,183
8,184
8,185
8,187
8,188
8,189
8,190
8,191
8,192
8,199
8,201
8,202
8,223
4,1
4,2
4,3
4,4
4,6
4,7
4,12
4,13
4,14
4,16
4,18
4,19
4,20
4,21
4,22
4,28
4,29
4,31
4,32
4,35
4,36
4,39
4,42
4,43
4,44
4,45
4,46
4,49
4,51
4,53
4,55
4,57
4,58
4,59
4,60
4,61
4,62
4,63
4,64
4,65
4,66
4,67
4,68
4,69
4,72
4,73
4,74
4,76
4,79
4,80
4,81
4,82
4,83
4,84
4,85
4,87
4,88
4,89
4,90
4,91
4,92
4,93
4,94
4,95
4,96
4,97
4,98
4,99
4,101
4,102
4,104
4,105
4,106
4,108
4,109
4,110
4,111
4,112
4,113
4,114
4,115
4,116
4,117
4,118
4,119
4,120
4,122
4,123
4,124
4,126
4,127
4,128
4,129
4,130
4,131
4,132
4,136
4,137
4,138
4,141
4,143
4,145
4,146
4,149
4,150
4,151
4,152
4,153
4,154
4,156
4,157
4,158
4,159
4,160
4,162
4,163
4,164
4,165
4,166
4,167
4,168
4,169
4,170
4,172
4,173
4,176
4,177
4,178
4,179
4,180
4,181
4,183
4,184
4,185
4,187
4,188
4,189
4,190
4,191
4,192
4,193
4,195
4,199
4,201
4,202
4,203
4,204
4,205
4,206
4,207
4,208
4,209
4,210
4,211
4,213
4,214
4,215
4,216
4,217
4,218
4,219
4,220
4,222
5,1
5,3
5,4
5,6
5,14
5,16
5,18
5,21
5,22
5,28
5,29
5,35
5,42
5,44
5,46
5,51
5,53
5,55
5,57
5,60
5,67
5,68
5,72
5,73
5,80
5,81
5,84
5,85
5,89
5,90
5,91
5,92
5,109
5,110
5,111
5,112
5,127
5,131
5,137
5,138
5,139
5,149
5,152
5,154
5,158
5,159
5,165
5,166
5,167
5,168
5,172
5,173
5,176
5,177
5,183
5,184
5,185
5,187
5,188
5,189
5,190
5,191
5,192
5,199
5,201
5,202
7,1
7,6
7,14
7,16
7,18
7,21
7,22
7,29
7,44
7,46
7,53
7,55
7,67
7,68
7,72
7,73
7,80
7,81
7,85
7,89
7,90
7,91
7,92
7,109
7,110
7,111
7,112
7,127
7,131
7,136
7,138
7,149
7,165
7,166
7,167
7,168
7,172
7,173
7,176
7,177
7,183
7,184
7,185
7,187
7,188
7,189
7,190
7,191
7,192
7,199
7,202
7,203
7,204
7,205
7,208
7,209
7,210
7,213
7,214
7,220
7,222
9,3
9,4
9,6
9,14
9,16
9,18
9,22
9,28
9,29
9,35
9,42
9,44
9,51
9,55
9,57
9,60
9,67
9,68
9,72
9,73
9,80
9,81
9,84
9,85
9,89
9,90
9,91
9,92
9,109
9,110
9,111
9,112
9,127
9,137
9,138
9,149
9,152
9,154
9,158
9,159
9,166
9,167
9,168
9,172
9,173
9,176
9,177
9,183
9,184
9,185
9,187
9,188
9,189
9,190
9,191
9,192
9,199
9,201
9,202